,htid,title,author,title_htrc,date,pub_date_htrc
276,mdp.39015006577822,Inferno,"Niven, Larry, Pournelle, Jerry","Inferno/Niven, Larry.",1975,1979
277,,Invisible Cities,"Calvino, Italo",,1975,
278,mdp.39015062115814,Ragtime,"Doctorow, E. L.","Ragtime/Doctorow, E. L.,",1975,1975
279,,The Birthgrave,"Lee, Tanith",,1975,
280,,The Computer Connection (also known as The Indian Giver),"Bester, Alfred",,1975,
281,pst.000005477456,The Embedding,"Watson, Ian","The embedding/Watson, Ian,",1975,1973
282,uc1.b4355109,The Exile Waiting,"McIntyre, Vonda N.","The exile waiting/McIntyre, Vonda N.",1975,1976
283,mdp.39015047597136,The Female Man,"Russ, Joanna","The female man/Russ, Joanna,",1975,1977
284,inu.39000002565559,The Forever War,"Haldeman, Joe","The forever war/Haldeman, Joe W.",1975,1976
285,mdp.39015040110978,The Heritage of Hastur,"Bradley, Marion Zimmer","The heritage of Hastur/Bradley, Marion Zimmer.",1975,1977
286,,The Missing Man,"MacLean, Katherine",,1975,
287,,The stochastic man,"Silverberg, Robert,",,1975,
288,mdp.39015008543418,A world out of time,"Niven, Larry,","A world out of time/Niven, Larry.",1976,1977
289,,Children of Dune,"Herbert, Frank",,1976,
290,uc1.31822034540724,Islands,"Randall, Marta","Reef and shore fishes of the Hawaiian Islands/Randall, John E.,",1976,2007
